code_pays,annee,dep_edu,scol_prim,scol_sec,alpha,id_pays,_est_fe,_est_re
AGO,2000,2.6075301,,13.36907,,AGO,0,0
AGO,2001,,,15.00134,67.410004,AGO,0,0
AGO,2002,,,16.149599,,AGO,0,0
AGO,2005,2.12011,,,,AGO,0,0
AGO,2006,2.28146,,,,AGO,0,0
AGO,2007,,106.34145,,,AGO,0,0
AGO,2008,,113.29224,22.799021,,AGO,0,0
AGO,2009,,112.27895,24.33202,,AGO,0,0
AGO,2010,3.42132,113.87258,28.210804,,AGO,1,1
AGO,2011,,128.38634,29.686953,,AGO,0,0
AGO,2012,3.0819108,,,,AGO,0,0
AGO,2013,4.4389496,,,,AGO,0,0
AGO,2014,,,,66.029999,AGO,0,0
AGO,2015,3.4868958,120.58028,,66.239998,AGO,1,1
AGO,2016,2.7549367,,54.416798,,AGO,0,0
AGO,2017,2.4668789,,,,AGO,0,0
AGO,2018,2.1835129,,,,AGO,0,0
AGO,2019,2.0730643,,,,AGO,0,0
AGO,2020,2.6674473,,,,AGO,0,0
AGO,2021,2.2971969,89.226608,53.135155,,AGO,1,1
AGO,2022,2.385359,,,,AGO,0,0
BDI,2000,2.6454799,59.236832,,59.299999,BDI,1,1
BDI,2001,2.9039099,61.938251,9.4199896,,BDI,1,1
BDI,2002,3.00493,68.637993,9.9273996,,BDI,1,1
BDI,2003,,74.176964,10.25635,,BDI,0,0
BDI,2004,3.7449501,79.25544,11.80931,,BDI,1,1
BDI,2005,3.63217,84.503593,12.97707,,BDI,1,1
BDI,2006,,107.59712,14.33811,,BDI,0,0
BDI,2007,,120.35242,15.33612,,BDI,0,0
BDI,2008,5.1928902,123.76885,,48.080002,BDI,1,1
BDI,2009,6.1719499,131.40083,20.8934,,BDI,1,1
BDI,2010,6.7752399,135.15973,23.764709,,BDI,1,1
BDI,2011,6.3192601,135.99222,26.79438,,BDI,1,1
BDI,2012,6.1677699,131.35715,29.57329,,BDI,1,1
BDI,2013,5.9954,126.11024,34.212452,,BDI,1,1
BDI,2014,6.7845201,121.42411,40.264126,61.290001,BDI,1,1
BDI,2015,6.3713398,116.22813,43.935192,,BDI,1,1
BDI,2016,4.6919999,112.48212,47.471535,65.690002,BDI,1,1
BDI,2017,4.7620201,107.55418,48.22435,68.379997,BDI,1,1
BDI,2018,5.07864,104.25645,46.330395,,BDI,1,1
BDI,2019,5.3466845,101.50612,41.835243,,BDI,1,1
BDI,2020,5.3215852,101.66109,44.915173,71.337479,BDI,1,1
BDI,2021,4.8711419,,,,BDI,0,0
BEN,2000,2.1136601,77.292801,20.00054,,BEN,1,1
BEN,2001,2.3650999,84.478554,21.71044,,BEN,1,1
BEN,2002,2.1594901,89.592957,23.584669,34.66,BEN,1,1
BEN,2003,2.28316,93.192108,24.90012,,BEN,1,1
BEN,2004,2.5669,96.98716,26.704149,,BEN,1,1
BEN,2005,2.6566801,94.214569,,,BEN,1,1
BEN,2006,2.5634,94.332542,,,BEN,1,1
BEN,2007,2.3633101,,,,BEN,0,0
BEN,2008,2.7772801,106.48396,,,BEN,1,1
BEN,2009,3.0892701,111.44181,,,BEN,1,1
BEN,2010,3.67997,112.79596,,,BEN,1,1
BEN,2011,,114.72313,45.729469,44.688122,BEN,0,0
BEN,2012,3.5620201,118.54148,,,BEN,1,1
BEN,2013,3.3275101,119.38309,52.037849,45.080002,BEN,1,1
